Const. ID#	RMS Constant	WK Const.	Descriptive Name	DE Scenario Editor	Internal Name	HD Scenario Editor	UP 1.5 Scenario Editor	AoC 1.0 Scenario Editor	HD Texture File	DE Texture File(s)	Minimap Color 	Building Allowed	Unit Pathing	Comments																
0	GRASS	GRASS	Grass 1	Grass 1	Grass	Grass 1	Grass 1	Grass	g_grs	g_grs		all	land	default terrain																
1	WATER	WATER, DLC_WATER5	Water, Shallow	Water, Shallow	Water, Shallow	Water, Shallow	Water, Shallow	Water, Shallow	g_wtr	g_wtr		water	ships	normal water																
2	BEACH	BEACH, DLC_BEACH2, DLC_BEACH3, DLC_BEACH4	Beach	Beach	Beach	Beach	Beach	-	g_bch	g_bch		walls only	all	automatically placed when land terrains border water																
3	DIRT3	DIRT3, DIRT4, DLC_DIRT4	Dirt 3	Dirt 3	Dirt 3	Dirt 3	Dirt 3	Dirt 3	g_ds3	g_ds3		all	land	grassy																
4	SHALLOW	SHALLOW, DLC_NEWSHALLOW	Shallows	Shallows	Shallows	Shallows	Shallows	Shallows	g_sha	g_sha		water	all	can be used to create river crossings																
5	LEAVES	LEAVES, DLC_JUNGLELEAVES	Underbrush	Underbrush	Underbrush	Leaves	Leaves	Leaves	g_for	g_for		all	land	used as the underlying texture for many forest types																
6	DIRT	DIRT	Dirt 1	Dirt 1	Dirt	Dirt 1	Dirt 1	Dirt 1	g_des	g_des		all	land	brown with the occasional cactus																
7	-	-	Farm	Farm	Farm1	Farm	Farm	-	g_fm1	g_fm1		all	land	no food																
8	-	-	Farm, Dead	Farm, Dead	Farm2	Farm, dead	Dead Farm	-	g_fm2	g_fm2		all	land	no food																
9	GRASS3	GRASS3, MOORLAND	Grass 3	Grass 3	Grass 3	Grass 3	Grass 3	Grass 3	g_gr3	g_gr3		all	land	brownish grass																
10	FOREST	FOREST, DLC_RAINFOREST	Forest, Oak	Forest, Oak	Forest	Forest	Forest	Forest	g_for	g_for		all	land	placed on LEAVES																
11	DIRT2	DLC_MANGROVESHALLOW	Dirt 2	Dirt 2	Dirt 2	Dirt 2	Dirt 2	Dirt 2	g_ds2	g_ds2		all	land	dirt/grass mixture																
12	GRASS2	GRASS2, DLC_JUNGLEGRASS	Grass 2	Grass 2	Grass 2	Grass 2	Grass 2	Grass 2	g_gr2	g_gr2		all	land	very green grass																
13	PALM_DESERT	PALM_DESERT	Forest, Palm Desert	Forest, Palm Desert	Palm Desert	Palm Desert	Plam Desert	Palm Desert	g_pal	g_pal		all	land	placed on DESERT																
14	DESERT	DESERT, SAVANNAH	Desert, Sand	Desert, Sand	Desert	Desert, Sand	Desert	Desert	g_pal	g_pal		all	land	sandy and light colored																
15	-	-	Water 2D, Shoreless	Water 2D, Shoreless	Water, Old	Water 2D, Shoreless	Water, Shallow (Other)	-	g_wtr	g_wtr		water	ships	looks like WATER; no beaches; not dockable																
16	ROCK1	BAOBAB, BAOBAB_FOREST, BAOBABS	Grass, Other	Grass, Other	Old Grass	Grass, Other 2	Unknown	-	g_grs	g_grs		all	land	looks like GRASS; automatically placed under cliffs																
17	JUNGLE	JUNGLE	Forest, Jungle	Forest, Jungle	Jungle	Jungle	Jungle	Jungle	g_for	g_for		all	land	placed on LEAVES																
18	BAMBOO	BAMBOO	Forest, Bamboo	Forest, Bamboo	Bamboo	Bamboo	Bamboo	Bamboo	g_for	g_for		all	land	placed on LEAVES																
